Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link,Wikipedia Link
Q105580,Gauge boson,,,,,,,,,,,gauge boson,https://ncatlab.org/nlab/show/gauge+boson,,,https://en.wikipedia.org/wiki/Gauge%20boson
Q1055807,Group representation,,,group representation,https://mathgloss.github.io/MathGloss/chicago/group_representation,,,,,,,representation theory,https://ncatlab.org/nlab/show/representation+theory,group representation,http://planetmath.org/grouprepresentation,https://en.wikipedia.org/wiki/Group%20representation
Q105637427,Adjoint,,,,,,,,,,,adjoint,https://ncatlab.org/nlab/show/adjoint,adjoint,http://planetmath.org/adjoint,https://en.wikipedia.org/wiki/Adjoint
Q105638008,Tensor network,,,,,,,,,,,tensor network,https://ncatlab.org/nlab/show/tensor+network,,,https://en.wikipedia.org/wiki/Tensor%20network
Q1056428,Type theory,type,https://arxiv.org/pdf/1612.09375#page=87,,,,,,,,,type theory,https://ncatlab.org/nlab/show/type+theory,Type theory,http://planetmath.org/typetheory,https://en.wikipedia.org/wiki/Type%20theory
Q10564851,Closure operator,,,,,,,kernel operator,https://emilyriehl.github.io/files/context.pdf#page=178,,,closure operator,https://ncatlab.org/nlab/show/closure+operator,consequence operator,http://planetmath.org/consequenceoperator,https://en.wikipedia.org/wiki/Closure%20operator
Q1056761,Significant figure,,,,,,,,,,,,,most significant digit,http://planetmath.org/mostsignificantdigit,https://en.wikipedia.org/wiki/Significant%20figures
Q1056809,Wiener process,,,,,,,,,,,Wiener measure,https://ncatlab.org/nlab/show/Wiener+measure,Wiener measure,http://planetmath.org/wienermeasure,https://en.wikipedia.org/wiki/Wiener%20process
Q1056998,Simple random sample without replacement,,,,,,,,,,,,,simple random sample,http://planetmath.org/simplerandomsample,https://en.wikipedia.org/wiki/Simple%20random%20sample
Q1057416,Eisenstein's criterion,,,,,,,,,Eisenstein's criterion,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Polynomial/Eisenstein/Criterion.html#Polynomial.irreducible_of_eisenstein_criterion,,,Eisenstein criterion,http://planetmath.org/eisensteincriterion,https://en.wikipedia.org/wiki/Eisenstein%27s%20criterion
Q105759800,Extended natural numbers,,,,,,,,,,,extended natural number,https://ncatlab.org/nlab/show/extended+natural+number,,,https://en.wikipedia.org/wiki/Extended%20natural%20numbers
Q1057919,Sylow theorems,,,,,,,,,,,Sylow p-subgroup,https://ncatlab.org/nlab/show/Sylow+p-subgroup,Sylow theorems,http://planetmath.org/sylowtheorems,https://en.wikipedia.org/wiki/Sylow%20theorems
Q1057968,Finite group,,,,,,,,,,,finite group,https://ncatlab.org/nlab/show/finite+group,,,https://en.wikipedia.org/wiki/Finite%20group
Q1057996,Coordinate vector,,,,,,,,,,,,,coordinate vector,http://planetmath.org/coordinatevector,https://en.wikipedia.org/wiki/Coordinate%20vector
Q1058314,Diffeomorphism,,,diffeomorphism,https://mathgloss.github.io/MathGloss/chicago/diffeomorphism,,,,,,,diffeomorphism group,https://ncatlab.org/nlab/show/diffeomorphism+group,,,https://en.wikipedia.org/wiki/Diffeomorphism
Q1058662,Darboux's theorem,,,,,,,,,,,Darboux's theorem,https://ncatlab.org/nlab/show/Darboux%27s+theorem,,,https://en.wikipedia.org/wiki/Darboux%27s%20theorem
Q1058681,Differential operator,,,,,,,,,,,symbol of a differential operator,https://ncatlab.org/nlab/show/symbol+of+a+differential+operator,differential operator,http://planetmath.org/differentialoperator,https://en.wikipedia.org/wiki/Differential%20operator
